2025-08-14 01:32:00 - TRADE | SELL | market-3 | reaction=0ms | execution=1259ms | total=1259ms | grade=B | roi_v2=20.0%
2025-08-14 01:32:00 - TRADE | SELL | market-3 | reaction=0ms | execution=1252ms | total=1252ms | grade=B | roi_v2=20.0%
2025-08-14 01:32:00 - TRADE | SELL | market-3 | reaction=0ms | execution=1266ms | total=1266ms | grade=B | roi_v2=20.0%
2025-08-14 01:32:00 - TRADE | SELL | market-3 | reaction=0ms | execution=1260ms | total=1260ms | grade=B | roi_v2=20.0%
2025-08-14 01:32:00 - TRADE | SELL | market-3 | reaction=0ms | execution=999ms | total=999ms | grade=A | roi_v2=38.5%
2025-08-14 01:32:00 - TRADE | SELL | market-3 | reaction=0ms | execution=1259ms | total=1259ms | grade=B | roi_v2=20.0%
2025-08-14 01:32:32 - TRADE | SELL | market-1 | reaction=0ms | execution=1279ms | total=1279ms | grade=B | roi_v2=27.0%
2025-08-14 01:32:32 - TRADE | SELL | market-1 | reaction=0ms | execution=1009ms | total=1009ms | grade=B | roi_v2=44.6%
2025-08-14 01:32:32 - TRADE | SELL | market-1 | reaction=0ms | execution=1272ms | total=1272ms | grade=B | roi_v2=27.0%
2025-08-14 01:32:32 - TRADE | SELL | market-1 | reaction=0ms | execution=1273ms | total=1273ms | grade=B | roi_v2=27.0%
2025-08-14 01:32:32 - TRADE | SELL | market-1 | reaction=0ms | execution=1282ms | total=1282ms | grade=B | roi_v2=27.0%
2025-08-14 01:32:32 - TRADE | SELL | market-2 | reaction=0ms | execution=1281ms | total=1281ms | grade=B | roi_v2=27.9%
2025-08-14 01:32:32 - TRADE | SELL | market-2 | reaction=0ms | execution=1284ms | total=1284ms | grade=B | roi_v2=27.9%
2025-08-14 01:32:32 - TRADE | BUY | market-2 | reaction=0ms | execution=1259ms | total=1259ms | grade=B | roi_v2=38.6%
2025-08-14 01:32:32 - TRADE | SELL | market-2 | reaction=0ms | execution=1286ms | total=1286ms | grade=B | roi_v2=27.9%
2025-08-14 01:32:32 - TRADE | SELL | market-3 | reaction=0ms | execution=1260ms | total=1260ms | grade=B | roi_v2=20.0%
2025-08-14 01:32:32 - TRADE | SELL | market-3 | reaction=0ms | execution=1258ms | total=1258ms | grade=B | roi_v2=20.0%
2025-08-14 01:32:32 - TRADE | SELL | market-3 | reaction=0ms | execution=1253ms | total=1253ms | grade=B | roi_v2=20.0%
2025-08-14 01:32:32 - TRADE | SELL | market-3 | reaction=0ms | execution=1251ms | total=1251ms | grade=B | roi_v2=20.0%
2025-08-14 01:32:32 - TRADE | SELL | market-3 | reaction=0ms | execution=1260ms | total=1260ms | grade=B | roi_v2=20.0%
2025-08-14 01:33:03 - TRADE | SELL | market-1 | reaction=0ms | execution=1272ms | total=1272ms | grade=B | roi_v2=27.0%
2025-08-14 01:33:03 - TRADE | SELL | market-1 | reaction=0ms | execution=1015ms | total=1015ms | grade=B | roi_v2=44.6%
2025-08-14 01:33:03 - TRADE | SELL | market-1 | reaction=0ms | execution=1271ms | total=1271ms | grade=B | roi_v2=27.0%
2025-08-14 01:33:03 - TRADE | SELL | market-1 | reaction=0ms | execution=1284ms | total=1284ms | grade=B | roi_v2=27.0%
2025-08-14 01:33:03 - TRADE | SELL | market-1 | reaction=0ms | execution=1275ms | total=1275ms | grade=B | roi_v2=27.0%
